Show #,Show No.,Title,Topics,Synopsis,Original Air Date,Transcript,Recipes
EA1G07,95th,Ill Gotten Grains,"Wheat, Francis Anderson, Tapenade, Couscous","Wheat berries, bulgur, and couscous aren't your usual wheaty fare but then you don't see a lot of food shows featuring amnesia or kidnapping either. (foodtv.com)",10.08.2003,Ill Gotten Grains,1) Bulgur Gazpacho2) Wheat Berry Tapenade3) Mushroom Wheat Berry Pilaf4) Steamed Couscous5) Basic Cooked Wheat Berries6) Cherry Couscous Pudding
EA1G08,94th,The Pouch Principal,"Pouch cooking, Vermouth",Living fast often means getting your food from a bag. Host Alton Brown doesn't see anything wrong with that as long as the bag comes out of your oven or microwave. Pouch cookery may have ancient origins but it may just be the key to your future food. (foodtv.com),09.13.2003,The Pouch Principal,1) Ramen Shrimp Pouch 2) Red Snapper en Papillote 3) Salmon Fillet en Papillote with Julienne Vegetable 4) Stone Fruit Pouches 5) Vanilla Sugar
EA1G10,93th,Raising The Steaks,"Skirt Steak, Sirloin Steak, Grilling on Charcoals, Broilers, Fajitas, Meat Grain & Cutting, Papain, Marinade vs. Brine",Host Alton Brown returns to the scene of episode #1 to re-think the great American steak. Do you have to lay out a bunch of presidents just to eat like one? Not if you know where to steer on a steer. (foodtv.com),09.10.2003,Raising The Steaks,1) Sirloin Steak2) Skirt Steak
EA1G09,92nd,A Beautiful Grind,"Sausage, Casing, Sausage Grinder, Fennel, National Food","Host Alton Brown thinks that sausage should be our national dish. Never made your own? Once you know how easy it is, you will. Take a look at grinders, the perfect hunk of pork and the longest piece of protein in the world. (foodtv.com)",08.20.2003,A Beautiful Grind,1.) Breakfast Sausage 2.) Italian Sausage
EA1G11,91st,True Brew IV: Take Stock,Chicken Stock,"Some folks may think of home made stocks as culinary anachronisms, but host Alton Brown thinks they're the best edible investment in town. Follow him as he buys the perfect stock pot and brews up some chickeney goodness spiced up with a tasty jolt of science and major dose of practical advice. (foodtv.com)",08.06.2003,True Brew IV: Take Stock,1) Chicken Stock2) Chicken Noodle Soup
EA1G06,90th,The Muffin Method Man,Muffins,"America's favorite breakfast bread moved out of the home kitchen long ago. With the help of some sound science and an incarcerated brother, host Alton Brown plans to change all that. (foodtv.com)",07.23.2003,The Muffin Method Man,1.) Blueberry Muffins 2.) English Muffins
EA1G03,89th,The Egg Files VI: French Flop,"Omelet, Teflon Skillets, Spatulas, Frittata",Host Alton Brown gets Zen with the simply delicious yet simply misunderstood king of egg applications. (foodtv.com),07.09.2003,The Egg File VI: French Flop,1) Omelet 2) Omelet for a Crowd 3) Frittata
EA1G04,88th,Q,"Barbeque, Smoker","Host Alton Brown thinks he's cracked the code to true 'cue: brined pork, a flower pot, a trashcan, hardwood smoke and a lot of patience. (foodtv.com)",06.11.2003,Q,1) Pulled Pork
EA1G01,87th,Crustacean Nation III: Feeling Crabby,Crabs,"What do you do when your live crab runs away from home? If you're Alton Brown you turn to frozen legs and other packaged products. A cop out? Nope, good eats. (foodtv.com)",05.25.2003,Crustacean Nation III: Feeling Crabby,1) Steamed Alaskan King Crab Claws 2) Ghee 3) Crab Cakes or Fritters 4) Marinated Crab Salad
EA1F17,86TH,Fit To Be Tied,"Roulades, Savory Rolls","Since childhood, host Alton Brown's had a soft spot in his appetite for roulades, savory rolls of meaty goodness that look hard ... but aren't ... as long as you've got science on your side. (foodtv.com)",03.19.2003,Fit To Be Tied,1) Fish Roll with Compound Butter 2) Braciole
EA1F16,85TH,Beet It,Beets,"Long feared by baby boomers accustomed to being accosted by noxious red wedges, beets are good eats, or so says host Alton Brown who suggests one approach the ruby roots with an open mind and a good pair of gloves. (foodtv.com)",03.05.2003,Beet It,1) Beet Green Gratin 2) Glazed Baby Beets 3) Pickled Beets
EA1F14,84TH,The Icing Man Commeth,Cake Icing (Frosting),"Cake is dandy but let's face it, without frosting it's just sweet bread (not sweetbreads). Host Alton Brown builds a better butter cream then builds a layer cake from ground up ... with tools from his local hardware. (foodtv.com)",02.19.2003,The Icing Man Commeth,1) Buttercream 2) Ganache 3) Writing Chocolate
EA1F13,83RD,A Cake On Every Plate,Yellow Cake,Host Alton Brown finds a challenge in his mail box: decipher a deceased family baker's famous yellow cake. (foodtv.com),02.05.2003,A Cake On Every Plate,1) Gold Cake 2) Cocoa Whipped Cream
EA1F12,82ND,Salad Daze II: The Long Arm Of The Slaw,"Coleslaw, Cabbage",Alton Brown's slaw-centric guest slot on a popular morning talk show turns into a strange and wonderful half hour of good eats. (foodtv.com),01.29.2003,Salad Daze II: The Long Arm of the Slaw,1) Coleslaw 2) Beet Slaw 3) Marinated Slaw 4) Asian Slaw
EA1F15,81ST,Use Your Noodle II,"Ravioli, Tortellini",Stuffed pastas like Ravioli are much loved but seldom made. Host Alton Brown intends to put that to an end by demystifying noodle and filling alike. The answer: Your ironing board. (foodtv.com),01.15.2003,Use Your Noodle II,1) Ravioli 2) Tortellini
EA1F11,80TH,Casserole Over,"Casserole, Casserole Dishes, Ceramics","When a Sunday drive goes bad, host Alton Brown finds himself pushing the limits of his casserole knowledge to free his dog from angry church ladies. (foodtv.com)",01.08.2003,Casserole Over,1) Broccoli Casserole 2) Curry Chicken Pot Pie 3) Garlic Shrimp Casserole
EA1F09,79TH,Choux Shine,"pâte a choux, cream puffs, éclair","The easiest pastry dough to make also happens to be the most versatile and delicious. Trouble is, Americans won't make it because it's got a scary name: pâte a choux. Join host Alton Brown as he takes the steamy dough from cream puff to éclair and beyond. (foodtv.com)",11.13.2002,Choux Shine,1) Sweet or Savory Pate a Choux 2) Funnel Cake
EA1F07,78TH,Chops Ahoy,"Pork Chops, Stuffing, Propane","Host Alton Brown yearns for the juicy chop of yesterday and he intends to get it. Visit the neighborhood butcher, pick up stuffing tips (no, stuffing is not evil) and learn more than you ever wanted to know about propane. (foodtv.com)",11.06.2002,Chops Ahoy,1) Stuffed Grilled Pork Chops
EA1F08,77TH,Dip Madness,"Dip, Chicken Liver, Avocados","Dips may have driven Alton Brown a little bonkers but that won't keep him from delivering the goods on guacamole, California dip and the unjustly dissed chicken liver mousse. (foodtv.com)",10.16.2002,Dip Madness,1) Chicken Liver Mousse 2) Guacamole 3) Hot Spinach and Artichoke Dip 4) Onion Dip from Scratch
EA1F10,76TH,Amber Waves,"Beer, Beer Equipment, Brewer's Yeast","Back in '76, President Jimmy Carter made it legal for us to brew 200 gallons of our own beer each year. Still, most of us would rather crack open a can of mass market semi suds than take matters into our own hands. Too bad, since AB says brewing at home is more fun than rocket science (if you can imagine) and a heck of a lot better tasting. (altonbrown.com) Join Host Alton Brown and learn everything you need to know about yeast, barley, hops and the hardware you need to bring them together to produce that most American of foods, Beer, It's fun ,easy and Good Eats. (foodtv.com)",10.09.2002,Amber Waves,1) Good Brew
EA1F06,75TH,Tomato Envy,Tomatoes,"Learn everything you need to know about making the best use of the biggest berry to ever be called a vegetable. Take a serious look at serrated knives, a strange and delicious sandwich and a tomato sauce that almost isn't. (foodtv.com)",10.02.2002,Tomato Envy,1) Stuffed Tomatoes 2) TBL Panzanella 3) Tomato Sauce
EA1F05,74TH,Egg Files V: Quantum Foam,"Soufflé, Soufflé Cookware, Foam, Bubbles","The word ""soufflé"" has instilled fear in cooks for ages. Host Alton Brown believes a strong dose of science is all that's needed to get control of your egg foam. Learn the ins and outs of the cheese soufflé, and how to manage the heat in your oven. (foodtv.com)",08.07.2002,Egg Files V: Quantum Foam,1) Cheese Soufflé
EA1F04,73RD,Good Milk Gone Bad,"Yogurt, Lactobacillus Bulgaricus","Yogurt's not just good for you, it's just plain good. Especially when you make your own. Host Alton Brown shows how easy this miraculous feat really is, then demonstrates plenty of ways to use the white stuff up. (foodtv.com)",07.24.2002,Good Milk Gone Bad,1) Fresh Yogurt 2) Lemon-Ginger Frozen Yogurt 3) Tarragon Yogurt Sauce 4) Million Island Dressing: (named in the show as such) 5) Herb Spread 6) Yogurt Cheese
EASP02,72ND,Down and Out in Paradise,,"A freak fishing accident leaves AB all washed up on a deserted tropical island. Armed with little more than a pocket knife and a will to survive, AB gets by on coconuts, pineapples, mangos, papayas and one very feisty pig. Survival's never tasted better. (foodtv.com)",07.21.2002,Down and Out in Paradise,1) Island Ceviche with Pickled Onions 2) Coconut Shrimp with Peanut Sauce 3) Mango Chutney 4) Papaya Soup 5) Sweet and Sour Pork 6) Toasty Coconut Macaroons 7) Spicy Pineapple Slices 8) Chocolate Covered Nutty Coconut Balls
EA1F02,71ST,The Choke's On You,"Artichokes, Herb Oil","Host Alton Brown gets to the heart of artichokes. Pick up tips on storing, prepping, cooking and even eating this giant flower bud, as well as how to make your own herb oil to marinate them in. (foodtv.com)",07.10.2002,The Choke's On You,1) Broiled Chokes 2) Herb Oil 3) Artichoke Pasta Salad
EA1F03,70TH,Strawberry Sky,"Strawberries, Clotted Cream, Dry Ice, Free Radicals","Join Host Alton Brown to learn how to make the most of strawberry season. You can macerate them, glaze them, freeze them with dry ice, and even build a summer pudding in a tin can. AB even holds a quick lesson on the power of antioxidants. (foodtv.com)",07.03.2002,Strawberry Sky,1) Macerated Strawberries 2) Strawberry Pudding 3) Clotted Cream 4) Frozen Strawberries
EA1F01,69TH,The Other Red Meat,"Tuna, Chimney Charcoal Starter, Soy Sauce","A quick trip to the afterlife convinces host Alton Brown to get serious about eating more tuna. Find out how to grill on a chimney charcoal starter, how to avoid fake soy sauce, and why you can see a rainbow on Tuna Steaks. (foodtv.com)",06.19.2002,The Other Red Meat,1) Chimney Tuna Loin
EA1E11,68TH,This Spud's For You,"Potatoes, Rosti","Alton, ever the Spud Stud, cooks up homey Potato Soup, creamy Potato Salad and a spectacular Swiss Rosti. It's all in a night's work for AB, but will he wind up being mashed? (foodtv.com)",04.20.2002,This Spud's For You Too,1) Leftover Baked Potato Soup 2) Cold-Fashioned Potato Salad 3) Potato Roesti
EA1E05,67TH,Send In The Clams,"Clams, Clam Openers, Chowder","No bivalve is more American than a clam, nor is any shell-dweller more versatile in the kitchen. AB stalks the happy creature, shows you the ins and outs of clam identification, shops for a clam opening device and makes a wicked chowder, among other things. (altonbrown.com) No bivalve is more American than the clam nor is any other shell-dweller more versatile in the kitchen. Learn the ins and outs of clam identification, decide which ones to use where, buy a clam opening device and make a wicked chowder. (foodtv.com)",4.10.2002,Send In The Clams,1) Radonsky for the New Millenium 2) Clams on the Half Shell with Fresh Mayonnaise 3) Clam Chowder
EA1E10,66TH,Use Your Noodle II,Macaroni,"Of Thomas Jefferson's many innovations, none was greater than macaroni and cheese. Unfortunately the classic has been going steadily downhill ever since. Learn what you can do to restore this American casserole. AB evaluates bakeware, noodles noodles, looks at evaporated milk, and checks out cheddar. (altonbrown.com) Learn what you can do to return Macaroni & Cheese to a table near you. Evaluate bakeware, noodle noodles, look into evaporated milk and of course, cheddar cheese. (foodtv.com)",4.3.2002,Use Your Noodle II,"1) Baked Macaroni and Cheese 2) Stove Top Mac-n-Cheese 3) Next Day Mac and Cheese ""Toast"""
EA1E03,65TH,Squash Court,"Winter Squashes, Beta Carotene, Stick Blenders","Squash court is well, squash. Fall and winter side dishes. (altonbrown.com) Hard or ""winter"" squashes confuse and confound for no other reason than there are so darned many of them. Learn how to shop, store, and cook a plethora of gourdy recipes, find out what's really up with beta carotene and why you need to buy a stick blender. (foodtv.com)",3.6.2002,Squash Court,1) Squash Soup 2) Butternut Dumplings with Brown Butter and Sage 3) Pumpkin Bread
EA1E08,64TH,Art of Darkness II,"Cocoa Powder, Dutch Processing, Brownies","One strange dichotomy of the kitchen is that cocoa powder can actually be more chocolaty than chocolate. Alas, not all cocoas are alike. Get the dirt on Dutch processing, choose a few powders, then apply them to hot chocolate, brownies, and the mysterious cocoa freeze. (altonbrown.com) Alton gets the dirt on Dutch processing and the dead Dutch guy who invented it, choose a few powders then apply them to hot chocolate, brownies, sorbet and homemade chocolate syrup. (foodtv.com)",2.13.2002,Art of Darkness II,1) Cocoa Brownies 2) Cocoa Syrup 3) Hot Cocoa
EA1E13,63RD,Squid Pro Quo,"Squid, Cuttle Fish, Woks, Cooler Packing","AB takes a wok down by the bay, where a strange sea monster gives new meaning to eat or be eaten. Calamari, anyone? Learn how to prep squid and cook it up, indoors or out. Bet you've never seen a tailgate party like this one. (altonbrown.com) Alton finds himself catering a tailgate party for a group of folks out to catch a glimpse of a mythical sea monster. To commemorate the event, Alton prepares a menu featuring his favorite tailgateable sea monster: squid. (foodtv.com)",1.30.2002,Squid Pro Quo,1) Squid Vicious
EA1E04,62ND,The Trouble with Cheesecake,"Cheesecake, Springform Pans","These three things are true: Cheesecake is one of the most popular desserts in the world. It's one of the easiest to make. Almost no one makes cheesecake. What's wrong with this picture? AB heads to the city of brotherly love to find out. Discover the secrets of cream cheese, conquer crumb crusts, buy into some pans, and never, ever see a crack again. (altonbrown.com) Alton helps discover the secrets of cream cheese and its alter-ego marscapone. Conquer crumb crusts, buy into some pans, and produce both savory and sweet cheesecakes without a crack in site. (foodtv.com)",1.23.2002,The Trouble with Cheesecake,1) Sour Cream Cheesecake 2) Savory Cheesecake (not in show)
EA1E07,61ST,Deep Purple,"Eggplant, Vegetable Peelers, Bread Crumbs","Open your mind to the berry that gives us baba ganoush and grosses out kids everywhere. Eggplant can be delicious, if you know how to buy it, store it and prep it. AB covers it all, including proper vegetable peelers and how to tell the boys from the girls (yes, eggplant has its own battle Of the sexes). (altonbrown.com) The aliens among us are eggplants and they are delicious, really. Learn to shop for and store different varieties of eggplant, evaluate bread crumbs, and celebrate the vegetable peeler. (foodtv.com)",1.16.2002,Deep Purple,1) Baba Ghannouj 2) Eggplant Steaks 3) Eggplant Pasta
EA1E12,60TH,Scrap Iron Chef,"Bacon, Cold Smoker",AB's the challenger ... and bacon's the name of the game. Learn how you can—and why you should—make your own bacon. And how to cook it right too. Get the skinny on pork bellies and learn how to make a smoking device with junk from your own backyard. (altonbrown.com) Alton Brown finds himself participating in a rather odd TV game show. The arena: a junkyard. The opponent: Chef Midwest. The ingredient: pork belly. Alton Brown's power play: bacon from scratch. 'Nuff said. (foodtv.com),1.9.2002,Scrap Iron Chef,1) Scrap Iron Chef's Bacon 2) Bacon Vinaigrette with Grilled Radicchio Not covered in the show: a) Honey Mustard Cure b) Molasses Black Pepper Cure c) Red Pepper Brine d) Soy Honey Brine
EA1E02,59TH,Celebrity Roast,"Roast Beef, Oven, Dry Aging","A feast demands roast beast, but is the roast an endangered species? AB looks deep into the oven, comes to terms with dry aging, and proves that any kitchen can be made roast ready ... even the down and dirty kitchen of his evil twin brother. (altonbrown.com) As the holidays approach Alton Brown ponders the perfect roast beast, meets with a butcher, comes to terms with aging, learns about ovens & radiant heat, discovers new ways to have fun with flower pots, and produces the ultimate carnivores delight. (foodtv.com)",12.5.2001,Celebrity Roast,1) Dry Aged Standing Rib Roast with Sage Jus
EA1E09,58TH,Crêpe Expectations,"Crepes, Teflon Pans","Crepes are a great wrap with a bad rap. Truth is, crepes are incredibly simple, versatile, and good eats. All you need is science, a good pan, and a limber wrist. Alton performs crepe for a live audience. (foodtv.com) French cooking? Are you mad? AB rescues his favorite wrap from a bad rap. Crepes, in spite of that crazy upside down ""v"" over the ""e"", are simple, versatile, and incredible--if you've got science and some good tools on your side. (altonbrown.com)",11.28.2001,Crepe Expectations,1) Crepes 2) Mushroom Crepe Cake 3) Crepes Suzette 4) Crepe Quiche Lorraine
EA1E06,57TH,Oat Cuisine,"Oats, Oatmeal, Crock Pots, Granola","Following a heart attack and near death experience, Alton takes Gods advice and gets seriously into oatmeal. Examine crock pots, make honest granola, learn about fiber & nutrition and make the universal baked dessert topping. (foodtv.com) Following a near death experience, AB takes God's advice to heart and gets serious about a food he's not too keen on. Turns out, oats are good eats, if you treat them right. Examine crock pots, make edible oatmeal, honest granola and the universal baked dessert topping. (altonbrown.com)",11.7.2001,Oat Cuisine,1) Haggis 2) Steel Cut Oatmeal 3) Overnight Oatmeal 4) Granola
EA1E01,56TH,Deep Space Slime,"Gelatin, Gelatin Molds","Alton is working as a consultant on a low budget sci-fi movie. His job: make spooky, gooey gelatin molds. Since gelatin is one of the most powerful tools on the pantry planet, Alton's happy to comply, but he insists on making it taste real good. (foodtv.com) Deep down, everyone loves gelatin. But the stuff in the box is so, well, elementary school. AB harnesses the gelling power of gelatin for a B-grade movie, and gets an A for originality and taste. Now, if they can just finish the movie before the crew eats all the special effects. (altonbrown.com)",10.24.2001,Deep Space Slime,"1) Sparkling Gingered Face 2) Cinnamon Cherry Heart 3) Panna Cotta Brain with Cranberry Glaze 4) Spooky Edible Eyes (not in show) 5) Layered Gelatin (not at Foodtv, link to transcript recipe)"
EA1D01,55TH,Chile's Angles,"Chile's Capsaicin, Human Tongue","Alton investigates the fruity heat of chilies and that ubiquitous condiment: salsa. Ponder the human tongue, the power of capsaicin, and learn to tame the burn of the only food registered as a weapon with the FDA. (foodtv.com)",10.03.2001,Chile's Angles,1) Salsa 2) Spicy Pineapple Sauce
EA1D04,54TH,True Brew II,"Tea, Tea Pots, Tea Kettles",Tea drinking taken seriously and all the dirt on the world's number two beverage. (Water is #1.) (foodtv.com),9.05.2001,True Brew II,1) Sweet Tea 2) Perfect Cup of Tea
EA1D07,53RD,Puff The Magic Pastry,"Pastry, Tender & Flakey","Don't be afraid, the store stuff can deliver the puff. (foodtv.com)",8.22.2001,Puff the Magic Pastry,1) Salmon Turnovers 2) Fruit Tart
EA1D10,52ND,Mayo Clinic,Mayonnaise,Join Alton Brown as he debunks the many mysteries of mayonnaise. (foodtv.com),8.8.2001,Mayo Clinic,1) Party Mayonnaise 2) Mayonnaise
EA1D11,51ST,The Bulb of the Night,Garlic,Meet the Count and discover the miraculous properties of this humble bulb. (foodtv.com),7.25.2001,The Bulb of the Night,1) Vlad's Very Garlicky Greens 2) 40 Cloves and a Chicken
EA1D13,50TH,Pantry Raid IV: Comb Alone,"Honey, Bees, Bee Hives","The most mentioned food in the Bible. The only food produced for us by animals. It's a sweetener, it's an antiseptic, it's amazing. (foodtv.com)",7.11.2001,Pantry Raid IV: Comb Alone,1) Honey Mustard Dressing 2) Honey Plums 3) Aunt Verna's Orange Cake 4) Sweet and Sour Dessert Sauce
EA1D12,49TH,A Chuck for Chuck,"Chuck, 7-Bone, Aluminum, Pot Roast","From ordinary chuck to sublime, melt in your mouth flavor: how to make the perfect pot roast without the pot. (foodtv.com)",6.27.2001,A Chuck for Chuck,1) Pot Roast
EA1D08,48TH,Let Them Eat Foam,"Cake, Angel Food Cake, Cake Pan","Chocolate layer and sheet cakes are more American than apple pie, yet few of us ever bake them anymore. We're going to change all that. Shop for cake pans, learn everything you need to know to keep your foam from flopping and produce a heavenly cake. (foodtv.com)",6.13.2001,Let Them Eat Foam,1) Angel Food Cake
EA1D06,47TH,Ham I Am,"Country Ham, City Ham","Country and city hams: cured, smoked, raw, brined or fresh, get your juices going for some good old American ham. (foodtv.com)",5.30.2001,Ham I Am,1) City Ham 2) Country Ham
EA1D05,46TH,Crustacean Nation II: Claws,Lobster,"Despite immense popularity, 9 out of 10 cooks say they're afraid to cook lobster. Host Alton Brown demystifies the buying, handling and cooking of the briny bug that put the surf into the surf-n-turf. (foodtv.com)",5.16.2001,Crustacean Nation II: Claws,1) Stuffed Lobster
EA1D02,45TH,Fry Hard II: The Chicken,"Buttermilk, Fried Chicken, Pan Frying","Buttermilk bathed, golden brown and delicious, mmm, mmm, fry some more, 'cause nobody doesn't love fried chicken. (foodtv.com)",4.25.2001,Fry Hard II: The Chicken,1) Fried Chicken
EA1D03,44TH,Pressure,"Broth, Pressure Cookers",The scientific theory behind capturing meaty goodness in liquid form and why the pressure cooker makes great broth. (foodtv.com),4.18.2001,Pressure,1) AB's Beefy Broth
EA1D09,43RD,"Where There's Smoke, There's Fish","Hot Smoker Box, Salmon, Woodchips, Brining","On one level, the marriage of fish (especially oily fish like trout or mackerel) and smoke might seem odd, but not only does it work, it is one of the easiest things you can do with a grill. Get the lowdown on woodchips, learn even more about brining (yes, again) and play around with some weeds. (foodtv.com)",4.11.2001,"Where There's Smoke, There's Fish",1) Smoked Salmon
EA1C06,42ND,Grill Seekers,"Grills, Lamb",The grill is your friend. Let Alton Brown show you how to tackle this backyard troublemaker and use it's powers for good. (foodtv.com),03.07.2001,Grill Seekers,1) Silence of the Leg O' Lamb
EA1C10,41ST,Head Games,"Cabbage, Cutting Board","Alton Brown gets inside a cabbage's head and comes out with a better understanding of what makes this potentially troublesome vegetable tick. Side trips include ""cutting board blues"" and a quick trip though cabbage history. (foodtv.com)",02.21.2001,Head Games,"1) Shred, Head, Butter and Bread 2) Home of the Braise"
EA1C01,40TH,Tofuworld,"Tofu, Soy, Blenders",Alton makes what once seemed foreign into an understandable all American classic. (foodtv.com),02.07.2001,Tofuworld,1) Fillet O'Fu 2) No Guilt Caesar 3) Moo-Less Chocolate Pie 4) Tall & Tangy Tofu Thangy
EA1C13,39TH,Mission: Poachable,"Poaching, Eggs, Fish","Alton must pit his poaching skills against those of the evil ""Frenchman"" who's plan is to contaminate the city's water with court bouillon. AB's crack team of culinary allies includes ""W"" and a shady soviet scientist. (foodtv.com)",01.31.2001,Mission: Poachable,1) GE Court Bouillon 2) The Frenchman's Bass 3) Catfish au Lait 4) Poached Egg Tips
EA1C12,38TH,Pantry Raid III: Cool Beans,"Beans, Hummus","Alton Brown helps us work through the fear with a very strange board game and a trip through his intestinal track while still taking time for ""Real"" Baked Beans, Black Bean Salad and the fastest Hummus on Earth. (foodtv.com)",01.17.2001,Pantry Raid III: Cool Beans,1) The Once and Future Beans 2) Black Bean Salad 3) Turbo Hummus
EA1C11,37TH,Flat Is Beautiful,"Pizza, Peels, Pizza Stones","Alton Brown claims we won't be satisfied with pizza until we take matters into our own hands. Venture through the world of yeast, lay new tiles in your oven and meet a peel named Emma. (foodtv.com)",01.10.2001,Flat Is Beautiful,1) Pizza Pizzas
EA1C08,36TH,The Case For Butter,"Butter, Margarine, Sauce","Alton Brown goes to court to defend butter against a bad wrap brought on by ""the dark agents of industry, media and the fat phobic public."" The best defense: sauces. (foodtv.com)",01.3.2001,The Case For Butter,1) Raymond Beurre Blanc 2) Compound Butter 3) Honey Butter
EA1C09,35TH,Flap Jack Do It Again,"Pancakes, Syrup, Measuring Cups","Join Alton Brown as he concocts homemade ""instant"" pancakes, shops for some heavy metal (measuring cups that is) and takes a long walk amongst the maples. (foodtv.com)",12.27.2000,Flap Jack Do It Again,"1) ""Instant"" Pancake Mix"
EA1C05,34TH,Three Chips for Sister Marsha,Cookies,"Alton uses time travel to explain the mystery behind cookies with three kinds: the thin, the puffy and the chewy. (foodtv.com)",12.13.2000,Three Chips for Sister Marsha,1) The Thin 2) The Puffy 3) The Chewy
EA1C14,33RD,Behind the Bird,"Turkey Leftovers, Sandwich Making, Toasters","How long after Thanksgiving can you live on leftovers? Food Expert, Alton Brown shows all the leftover possibilities... (foodtv.com)",11.18.2000,Behind the Bird,1) In a Cranberry Jam 2) Turkey Re-Hash 3) Bird to the Last Drop
EA1C04,32ND,What's Up Duck?,"Duck, Thermodynamics",Why do Americans not eat duck? Watch as Alton ponders thermodynamics in his quest to make duck a regular dish. (foodtv.com),11.01.2000,What's Up Duck?,1) Mighty Duck
EA1C03,31ST,Man with a Flan,"Flan, Eggs, Whisk",Unleashing more of the eggs' amazing powers in the second of a series about the egg. (foodtv.com),10.18.2000,Man with a Flan,1) Refrigerator Pie 2) Flandango
EA1C02,30TH,Mussel Bound,"Mussels, Pots, Mussel Farming",Learn to win in this shell game. Alton explains the simple pleasures of mussels. (foodtv.com),10.11.2000,Mussel Bound,1) Mojo Moulies
EA1C07,29TH,American Pickle,"Pickles, Pickling",There is no good reason that people do not make their own pickles. They are easy and delicious. Let Alton show you simple joys of pickling. (foodtv.com),09.20.2000,American Pickle,1) Kinda Sorta Sours 2) AB's B and B's 3) Firecrackers 4) Summer Fruits 5) Hurry Curry Cauliflower
EA1B09,28TH,Ear Apparent,"Corn, Endosperm, Starch, Maize, Corn Meal, Popcorn","Alton shops, shucks and shares the history and methods of the summer fave: corn. (foodtv.com)",7.19.2000,Ear Apparent,1) Better Than Grannie's Creamed Corn 2) Creamed Corn Cornbread 3) Plain Brown Popper
EA1B14,27TH,Pork Fiction,"Pork Ribs, Rubs, Slow Cooking, Collagen, Myoglobin","Trapped on a desert island, Alton is eating ribs. Let him show you the way, the truth and the light about ribs. (foodtv.com)",7.5.2000,Pork Fiction,1) Who Loves Ya Baby-Back?
EA1B05,26TH,Citizen Cane,Sugar,"Cooking with sugar is not difficult. Alton thinks that chefs make it seem hard so that you are really impressed with dessert when you order it. Well, Good Eats will show how easy and delicious sugar is. (foodtv.com)",6.21.2000,Citizen Cane,1) Caramel Sauce 2) Doodads 3) Banana Brulee 4) Banana SplitsvilleNote: All the recipes are found under one heading at FN. The first three recipes are used to make the 4th.
EA1B12,25TH,Pantry Raid II: Seeing Red,"Tomatoes, Knives, Honing, Sharpening, Mire Pox, Can Openers, Sweats","Need a tomato sauce? No, not from a jar ... Alton has three ways to simplify your life with sauce. (foodtv.com) Need a tomato sauce? No, not from a jar ... Alton has three ways to simplify your life with sauce. Recipes: Pantry Tomato Sauce V1.1; Pantry Tomato Sauce V1.2; Pantry Tomato Sauce V1.3 (foodtv.com 2003)",6.7.2000,Pantry Raid II: Seeing Red,1) Pantry Friendly Tomato Sauce
EA1B06,24TH,Urban Preservation Part 1,"Jam, Preserves, Canning, Pectin, Boiling, Air Pressure, Microbes","Nobody seems to make jam anymore and Alton has wondered why. It is a time honored tradition, and it's easy and delicious. Alton is on a mission to make canning common again! Using good science and easy methods, Alton will show you how to jam. (foodtv.com)",5.24.2000,Urban Preservation Part 1,1) Spiced Blueberry Jammin'
EA1B10,23RD,Fry Hard,"Frying, French Fries, Fat, Fatty Acids, Fry Machine","Fry is not a dirty word. Alton wants to show that proper know-how allows everyone to make healthy, delicious and safe fried foods. (foodtv.com)",5.10.2000,Fry Hard,1) Chips and Fish
EA1B11,22ND,A Grind is a Terrible Thing to Waste,"Hamburger, Ground Beef, Beef Chuck,",Learn to be excited when meat loaf is for dinner...and other ground beef techniques. (foodtv.com),4.26.2000,A Grind is a Terrible Thing to Waste,1) Good Eats Meat Loaf 2) Burger of the Gods
EA1B08,21ST,True Brew,"Coffee, Coffee Filters, Decaffeinated Coffee, Water, Caffeine","Coffee is America's drink. Nobody drinks more than we do, but Alton thinks that we do not enjoy the bitter brew as much as we should. Watch as Alton leads us through the history and prep of our favorite bean. (foodtv.com)",4.12.2000,True Brew,"1) Coffee: Black, No Chaser"
EA1B04,20TH,Crust Never Sleeps,"Pie Crust, Tender, Flakey",Alton thinks that the crust is the best part of the pie. Watch as he does battle with Tender and Flaky with the help of good science to make the crust of his dreams. (foodtv.com),3.22.2000,Crust Never Sleeps,1) No Pan Pear Pie
EA1B13,19TH,The Fungal Gourmet,"Mushrooms, Sautée, Ghee, Clarified Butter","Mushrooms are mysterious no longer, Alton makes them a kitchen staple. (foodtv.com)",3.15.2000,The Fungal Gourmet,1) The Fungal Sauté 2) That Ol' Cap Magic
EA1B07,18TH,Crustacean Nation,"Shrimp, Deveining, Cocktail Sauce","Shrimp cocktail is not just for wedding receptions anymore - you can make it too, once Alton shows you around a shrimp boat and his cousin Ray's shrimp shop. (foodtv.com)",3.8.2000,Crustacean Nation,1) The Shrimp Cocktail
EA1B03,17TH,Apple Family Values,"Apples, Waldorf Salad, Apple Sauce, Microwave Physics, Ethylene","Apples- whether they are of your eye, in the Garden of Eden, or shot off of your head by William Tell, apples are as American as, well, apple pie. Watch Alton Brown show you how to shop, store and prepare some apple classics. (foodtv.com)",3.1.2000,Apple Family Values,"1) It's a Wonderful Waldorf 2) 10 Minute Apple Sauce 3) Baker, Baker"
